n_random_features,model_score,features
45,0.823,"[('kurtosis', ('max', ('+', ('kurtosis', ('min', 'N')), 'N'))), 'E', ('min', ('min', ('corr', 'E', ('max', ('skew', 'E'))))), 'E', 'N', ('+', 'E', 'E'), ('corr', ('corr', 'Z', ('kurtosis', ('skew', 'N'))), 'Z'), ('+', ('kurtosis', ('re_fft', ('min', 'N'))), 'E'), ('argmax', 'N'), ('skew', ('skew', ('argmax', 'N'))), ('skew', 'N'), ('skew', ('+', ('max', ('+', ('max', 'N'), 'Z')), ('corr', 'N', 'Z'))), ('argmax', ('max', ('+', ('corr', ('argmax', 'E'), ('+', 'E', 'Z')), ('max', ('max', 'Z'))))), ('argmax', 'N'), ('re_fft', 'E'), ('re_fft', ('+', ('re_fft', ('+', 'E', ('min', 'Z'))), 'N')), ('re_fft', ('kurtosis', ('skew', 'N'))), ('+', ('max', 'E'), ('+', ('min', ('max', ('min', 'E'))), ('kurtosis', ('min', ('re_fft', 'E'))))), ('corr', 'E', ('+', ('skew', 'Z'), 'E')), ('kurtosis', ('corr', ('+', ('min', ('re_fft', 'N')), ('corr', 'E', ('re_fft', 'N'))), ('+', 'N', ('min', ('argmax', 'Z'))))), ('min', ('argmax', ('corr', ('argmax', ('kurtosis', 'Z')), ('+', ('argmax', 'E'), 'E')))), ('min', ('skew', ('skew', 'Z'))), ('skew', 'E'), ('argmax', 'E'), ('argmax', ('skew', ('argmax', ('kurtosis', 'Z')))), ('kurtosis', ('max', 'E')), ('max', ('+', ('+', ('argmax', ('max', 'N')), 'E'), ('skew', 'Z'))), ('min', 'Z'), ('kurtosis', ('re_fft', ('re_fft', ('+', ('max', 'E'), ('kurtosis', 'Z'))))), ('max', ('re_fft', ('kurtosis', ('skew', 'N')))), ('argmax', ('skew', 'N')), ('re_fft', ('argmax', 'N')), ('+', ('+', ('+', 'E', ('min', ('max', 'N'))), ('+', ('corr', ('kurtosis', 'Z'), ('argmax', 'E')), 'N')), 'N'), ('re_fft', 'Z'), 'E', ('skew', ('re_fft', ('argmax', 'N'))), 'N', 'E', 'E', ('min', ('skew', ('+', ('corr', ('max', 'N'), ('max', 'N')), 'Z'))), 'E', 'E', ('max', ('min', ('argmax', ('argmax', ('kurtosis', 'E'))))), 'Z', ('re_fft', ('kurtosis', 'Z'))]"
45,0.834,"[('kurtosis', ('kurtosis', ('kurtosis', ('max', ('min', 'N'))))), ('argmax', ('kurtosis', ('+', ('skew', 'Z'), ('corr', ('+', 'Z', 'E'), ('+', 'N', 'E'))))), 'E', 'N', 'N', ('re_fft', 'N'), ('+', ('argmax', 'E'), ('min', 'N')), ('corr', ('corr', ('max', 'E'), 'N'), ('skew', ('+', 'E', ('kurtosis', ('argmax', 'Z'))))), ('kurtosis', ('skew', ('kurtosis', 'E'))), ('skew', 'E'), ('min', 'E'), ('kurtosis', 'E'), ('min', ('min', 'N')), ('argmax', ('kurtosis', ('argmax', ('min', ('argmax', 'E'))))), ('re_fft', 'E'), ('skew', ('min', 'E')), ('kurtosis', ('kurtosis', ('skew', ('re_fft', ('corr', 'N', 'Z'))))), ('corr', ('skew', ('skew', ('corr', ('argmax', 'N'), ('min', 'N')))), ('re_fft', ('min', ('+', 'N', ('argmax', 'N'))))), ('kurtosis', ('kurtosis', ('kurtosis', 'E'))), ('min', ('argmax', ('+', ('corr', ('corr', 'E', 'E'), ('min', 'Z')), ('+', ('re_fft', 'E'), 'N')))), ('re_fft', 'Z'), ('min', ('argmax', 'Z')), 'E', ('+', 'E', 'Z'), ('kurtosis', 'N'), ('+', ('skew', ('kurtosis', ('kurtosis', ('corr', 'N', 'Z')))), ('max', 'E')), 'E', ('re_fft', ('min', ('+', ('+', ('re_fft', 'Z'), ('kurtosis', 'N')), ('min', 'E')))), 'N', ('min', ('max', 'E')), ('re_fft', ('corr', ('corr', ('kurtosis', ('max', 'Z')), ('re_fft', ('corr', 'E', 'N'))), ('min', ('re_fft', 'E')))), ('max', ('re_fft', 'E')), ('argmax', ('argmax', ('min', 'E'))), ('max', 'N'), ('max', 'E'), 'N', ('argmax', ('argmax', 'Z')), 'Z', ('corr', ('min', ('corr', 'E', 'N')), ('+', ('kurtosis', ('corr', 'N', ('corr', 'E', 'Z'))), ('skew', ('max', ('kurtosis', 'Z'))))), 'E', 'Z', 'N', ('kurtosis', ('re_fft', ('max', 'N'))), ('kurtosis', ('kurtosis', ('skew', 'N'))), ('corr', ('corr', ('re_fft', ('kurtosis', ('min', 'Z'))), ('argmax', ('max', 'N'))), ('kurtosis', ('skew', ('max', ('kurtosis', 'Z')))))]"
45,0.842,"[('argmax', ('corr', 'N', ('+', ('corr', ('min', 'N'), 'N'), ('kurtosis', ('kurtosis', 'N'))))), 'E', ('argmax', ('re_fft', 'Z')), ('argmax', ('+', 'E', ('kurtosis', 'Z'))), ('re_fft', ('argmax', ('corr', 'N', 'E'))), ('corr', ('+', 'E', ('argmax', ('min', ('+', 'E', 'Z')))), ('max', ('skew', ('re_fft', 'N')))), ('+', ('max', ('corr', 'E', ('+', ('skew', 'N'), ('corr', 'Z', 'E')))), 'N'), 'E', ('min', ('skew', ('re_fft', ('+', 'E', ('argmax', 'N'))))), ('argmax', ('kurtosis', ('min', 'E'))), ('re_fft', 'E'), 'N', 'N', ('skew', ('kurtosis', 'E')), 'Z', ('kurtosis', ('argmax', 'E')), 'N', ('re_fft', ('argmax', ('re_fft', ('max', ('corr', 'Z', 'E'))))), ('kurtosis', ('max', 'Z')), ('max', ('corr', ('corr', ('skew', 'E'), ('min', ('skew', 'N'))), 'E')), ('corr', ('re_fft', ('argmax', ('skew', ('argmax', 'N')))), ('min', ('kurtosis', 'E'))), ('re_fft', ('corr', ('kurtosis', ('+', 'E', 'Z')), 'Z')), ('max', ('skew', 'Z')), ('+', 'E', 'E'), ('min', ('max', 'Z')), ('skew', 'N'), 'E', ('argmax', ('argmax', ('re_fft', ('skew', ('max', 'N'))))), ('re_fft', ('argmax', ('min', ('re_fft', ('max', 'N'))))), ('min', ('kurtosis', ('corr', ('argmax', ('max', 'N')), 'N'))), ('+', ('argmax', 'N'), 'Z'), ('+', 'N', ('skew', ('min', ('min', 'N')))), 'Z', ('argmax', ('skew', ('+', ('corr', ('max', 'N'), ('re_fft', 'E')), 'E'))), 'Z', ('max', ('skew', ('kurtosis', ('argmax', ('+', 'N', 'Z'))))), ('corr', ('corr', ('max', ('max', 'N')), ('+', 'N', ('skew', ('+', 'N', 'Z')))), 'E'), ('corr', ('kurtosis', ('min', ('re_fft', ('max', 'Z')))), 'E'), 'N', ('min', ('kurtosis', ('corr', 'E', ('corr', 'N', ('argmax', 'N'))))), ('kurtosis', 'E'), ('corr', 'N', ('min', ('+', ('min', ('skew', 'N')), ('min', ('kurtosis', 'Z'))))), ('argmax', 'N'), 'E', 'E']"
45,0.836,"[('skew', ('argmax', ('skew', ('max', ('argmax', 'N'))))), ('argmax', ('kurtosis', ('re_fft', ('argmax', 'E')))), ('max', 'Z'), ('+', 'E', ('kurtosis', ('+', ('skew', ('max', 'Z')), 'Z'))), ('corr', 'Z', ('skew', ('argmax', ('re_fft', ('argmax', 'N'))))), ('skew', ('min', ('re_fft', ('skew', 'N')))), 'E', ('+', ('argmax', 'E'), ('argmax', ('skew', ('argmax', ('max', 'E'))))), ('min', ('min', ('max', ('argmax', ('corr', 'Z', 'Z'))))), ('argmax', ('max', ('corr', 'E', ('min', 'E')))), ('re_fft', ('max', ('re_fft', 'E'))), 'E', ('+', 'Z', ('corr', ('min', ('kurtosis', ('skew', 'N'))), 'N')), ('+', ('+', ('corr', ('kurtosis', ('max', 'Z')), ('argmax', ('+', 'Z', 'Z'))), ('re_fft', ('skew', ('argmax', 'Z')))), ('max', ('skew', ('argmax', ('re_fft', 'N'))))), 'N', ('skew', ('kurtosis', ('argmax', ('skew', ('skew', 'E'))))), ('min', ('re_fft', ('+', 'Z', ('argmax', ('skew', 'N'))))), ('min', ('+', ('+', 'E', ('kurtosis', ('kurtosis', 'Z'))), ('+', ('max', ('+', 'Z', 'Z')), 'Z'))), ('min', ('+', 'N', ('re_fft', 'N'))), 'N', ('kurtosis', ('argmax', ('min', ('max', 'E')))), ('kurtosis', ('min', ('skew', 'E'))), ('kurtosis', 'Z'), ('max', ('skew', ('re_fft', ('argmax', 'E')))), ('max', ('re_fft', ('min', ('min', 'E')))), ('skew', ('re_fft', ('argmax', ('min', ('argmax', 'N'))))), ('max', ('argmax', ('argmax', 'N'))), ('kurtosis', 'E'), ('corr', ('+', ('+', 'N', ('+', ('re_fft', 'Z'), ('min', 'N'))), ('corr', 'Z', ('argmax', ('min', 'Z')))), ('+', ('min', ('+', ('skew', 'Z'), 'N')), ('corr', ('min', ('argmax', 'E')), ('corr', ('max', 'N'), 'E')))), ('max', 'Z'), ('corr', ('+', ('re_fft', ('min', ('kurtosis', 'E'))), ('min', 'Z')), ('+', ('max', ('max', ('kurtosis', 'Z'))), 'E')), 'E', ('skew', ('argmax', ('skew', ('min', ('+', 'E', 'N'))))), 'Z', 'N', ('re_fft', ('min', 'Z')), 'E', ('skew', ('argmax', ('skew', ('min', ('+', 'Z', 'N'))))), ('+', ('skew', ('min', ('argmax', 'Z'))), 'E'), 'E', ('re_fft', ('kurtosis', ('kurtosis', ('skew', 'Z')))), ('+', 'Z', ('corr', ('re_fft', ('re_fft', ('max', 'Z'))), ('max', 'E'))), ('min', 'N'), ('argmax', ('skew', 'Z')), 'N']"
45,0.826,"[('max', ('re_fft', ('re_fft', ('argmax', 'Z')))), 'N', 'E', ('max', 'Z'), ('re_fft', 'E'), 'E', ('re_fft', ('skew', ('corr', 'N', ('re_fft', ('+', 'Z', 'Z'))))), ('re_fft', ('argmax', 'N')), 'N', 'E', ('kurtosis', 'N'), ('corr', ('kurtosis', ('+', 'Z', 'E')), ('skew', ('+', 'Z', ('re_fft', 'E')))), ('re_fft', ('min', ('re_fft', ('argmax', ('max', 'Z'))))), ('skew', ('re_fft', 'N')), ('skew', 'E'), 'N', 'E', ('skew', ('min', ('argmax', ('corr', ('min', 'N'), ('min', 'Z'))))), ('kurtosis', 'N'), ('max', ('argmax', 'N')), ('argmax', ('max', ('+', ('max', 'Z'), ('re_fft', ('min', 'Z'))))), ('min', ('argmax', ('max', ('corr', ('min', 'Z'), 'Z')))), ('re_fft', ('kurtosis', ('kurtosis', ('max', 'N')))), 'N', ('max', ('min', ('max', ('corr', ('max', 'Z'), ('re_fft', 'Z'))))), 'Z', 'E', ('+', 'N', ('corr', ('skew', ('corr', 'N', ('re_fft', 'Z'))), ('skew', ('argmax', ('argmax', 'Z'))))), ('argmax', ('max', ('re_fft', 'Z'))), ('corr', 'N', ('max', ('re_fft', 'N'))), ('min', ('argmax', 'N')), 'E', 'N', ('re_fft', ('+', ('argmax', ('+', 'Z', ('skew', 'N'))), ('kurtosis', ('kurtosis', 'E')))), ('skew', 'E'), 'E', ('+', ('corr', 'N', ('min', ('skew', ('argmax', 'Z')))), 'Z'), 'E', ('max', 'Z'), ('skew', ('max', 'Z')), ('skew', ('corr', ('kurtosis', ('argmax', ('max', 'N'))), 'E')), 'Z', 'Z', ('corr', ('kurtosis', ('corr', ('min', ('kurtosis', 'Z')), 'N')), ('kurtosis', ('kurtosis', ('corr', 'N', 'E')))), ('min', ('min', ('argmax', ('skew', ('argmax', 'N')))))]"
50,0.828,"[('min', ('argmax', ('corr', ('min', ('argmax', 'E')), ('re_fft', ('re_fft', 'E'))))), ('kurtosis', ('+', ('corr', ('re_fft', 'E'), ('+', ('re_fft', 'Z'), ('corr', 'N', 'N'))), 'Z')), ('skew', ('skew', ('re_fft', ('corr', ('skew', 'E'), 'Z')))), 'E', 'N', 'N', ('+', 'E', 'Z'), 'N', ('argmax', ('corr', ('corr', ('+', ('max', 'N'), ('skew', 'Z')), ('corr', 'N', ('+', 'E', 'E'))), ('max', ('corr', 'N', ('re_fft', 'N'))))), ('argmax', ('skew', ('argmax', 'Z'))), ('corr', 'Z', ('+', 'E', ('argmax', ('min', ('re_fft', 'Z'))))), ('skew', ('+', 'N', 'E')), ('min', 'N'), 'Z', ('corr', ('corr', ('kurtosis', ('corr', ('max', 'N'), 'E')), 'N'), 'E'), ('corr', 'Z', ('kurtosis', ('kurtosis', ('skew', ('min', 'Z'))))), ('kurtosis', ('corr', ('skew', 'E'), ('max', ('kurtosis', ('max', 'Z'))))), 'Z', 'E', ('skew', ('+', ('kurtosis', 'N'), 'N')), 'E', ('max', ('kurtosis', ('skew', 'E'))), ('kurtosis', ('skew', ('+', 'E', ('kurtosis', ('argmax', 'N'))))), 'Z', ('re_fft', ('min', 'E')), 'Z', ('re_fft', ('min', 'E')), ('re_fft', 'N'), ('argmax', 'N'), ('+', ('+', ('skew', ('re_fft', ('re_fft', 'Z'))), ('min', 'E')), ('min', ('+', ('kurtosis', 'E'), ('min', ('+', 'N', 'Z'))))), ('max', 'N'), ('argmax', 'Z'), ('max', ('re_fft', ('kurtosis', ('skew', ('max', 'Z'))))), ('kurtosis', 'Z'), ('kurtosis', 'E'), ('corr', ('max', 'N'), 'N'), ('min', 'E'), ('kurtosis', ('skew', ('kurtosis', ('max', ('max', 'N'))))), ('corr', ('re_fft', ('min', ('argmax', ('corr', 'Z', 'E')))), 'E'), ('skew', 'E'), ('re_fft', ('max', ('re_fft', 'E'))), ('max', ('+', ('corr', 'Z', ('argmax', ('+', 'N', 'Z'))), 'Z')), ('+', 'E', 'E'), 'N', 'N', ('argmax', ('min', ('min', 'Z'))), ('skew', ('corr', ('min', ('skew', 'N')), ('max', ('argmax', 'E')))), 'Z', 'E', 'Z']"
50,0.832,"['Z', 'Z', 'Z', ('corr', 'N', 'E'), ('skew', 'E'), ('+', ('+', 'N', ('corr', 'Z', 'E')), ('kurtosis', ('re_fft', 'Z'))), ('re_fft', 'Z'), 'E', 'E', ('re_fft', 'N'), 'Z', ('kurtosis', 'E'), ('re_fft', ('argmax', ('min', 'E'))), 'Z', ('argmax', ('+', 'Z', ('+', ('corr', 'N', ('corr', 'Z', 'N')), ('max', ('re_fft', 'Z'))))), 'N', 'N', ('+', ('min', ('+', ('skew', ('min', 'E')), ('skew', 'Z'))), 'Z'), ('min', ('+', ('re_fft', 'Z'), 'N')), ('kurtosis', 'N'), ('skew', 'Z'), ('re_fft', 'E'), 'N', ('+', ('min', 'N'), 'N'), 'N', ('+', 'E', ('argmax', 'N')), 'N', ('+', 'N', 'Z'), 'Z', ('skew', 'Z'), ('max', ('+', 'Z', ('+', 'N', 'E'))), 'E', 'Z', ('re_fft', ('corr', ('skew', ('corr', ('+', 'Z', 'N'), 'E')), 'E')), 'N', 'N', ('skew', 'E'), ('argmax', 'Z'), 'Z', 'Z', 'Z', ('argmax', 'N'), ('argmax', 'N'), 'Z', 'E', ('max', ('kurtosis', ('argmax', ('skew', ('re_fft', 'E'))))), 'Z', ('re_fft', ('max', ('max', 'Z'))), ('+', 'Z', ('argmax', 'N')), 'Z']"
50,0.854,"[('+', ('skew', 'E'), ('corr', ('re_fft', 'E'), ('re_fft', ('corr', 'Z', ('argmax', 'Z'))))), ('max', ('skew', ('argmax', ('corr', 'E', ('+', 'Z', 'N'))))), 'E', ('+', ('re_fft', 'Z'), ('max', ('argmax', 'Z'))), ('+', 'E', ('min', ('kurtosis', 'E'))), ('skew', 'E'), ('skew', 'Z'), ('kurtosis', ('re_fft', 'Z')), ('argmax', ('argmax', ('argmax', ('kurtosis', ('min', 'N'))))), ('skew', ('argmax', ('+', 'N', ('+', ('corr', 'Z', 'E'), ('skew', 'N'))))), ('re_fft', ('min', ('re_fft', ('skew', ('+', 'N', 'Z'))))), ('corr', ('min', 'Z'), ('max', ('min', ('argmax', ('max', 'N'))))), ('re_fft', ('re_fft', 'E')), 'E', ('min', ('kurtosis', ('min', ('max', ('kurtosis', 'E'))))), ('corr', 'N', 'Z'), ('kurtosis', 'N'), ('skew', ('re_fft', ('skew', ('kurtosis', ('kurtosis', 'Z'))))), ('kurtosis', ('skew', 'E')), 'N', ('max', ('skew', ('max', ('corr', ('max', 'Z'), ('re_fft', 'E'))))), ('min', ('kurtosis', 'N')), 'E', ('+', 'Z', ('min', ('min', ('skew', ('+', 'N', 'Z'))))), ('min', ('max', ('max', ('re_fft', ('re_fft', 'E'))))), ('re_fft', ('corr', ('corr', ('+', ('argmax', 'E'), ('skew', 'E')), ('argmax', 'E')), ('skew', 'E'))), ('min', ('kurtosis', ('corr', ('min', ('argmax', 'Z')), ('skew', ('min', 'N'))))), ('re_fft', 'N'), 'Z', ('+', ('corr', ('+', ('skew', ('kurtosis', 'Z')), ('re_fft', 'N')), ('skew', ('+', ('argmax', 'E'), ('corr', 'Z', 'Z')))), 'N'), ('max', ('argmax', ('max', ('skew', ('argmax', 'Z'))))), ('corr', ('+', 'E', 'E'), ('min', 'N')), ('+', ('+', 'Z', ('re_fft', ('max', 'N'))), 'E'), ('max', 'Z'), 'N', ('corr', ('+', ('argmax', ('kurtosis', 'E')), 'Z'), ('kurtosis', ('max', ('argmax', ('min', 'N'))))), ('min', 'N'), ('kurtosis', 'Z'), ('min', 'E'), ('min', ('re_fft', ('min', ('re_fft', ('corr', 'N', 'E'))))), 'E', ('argmax', ('kurtosis', 'N')), ('+', ('+', ('corr', ('skew', 'N'), ('re_fft', ('corr', 'E', 'Z'))), 'E'), ('max', ('argmax', ('+', ('corr', 'N', 'N'), 'Z')))), ('min', ('min', ('max', ('min', ('corr', 'E', 'E'))))), 'N', ('re_fft', 'Z'), ('corr', ('max', 'E'), ('kurtosis', ('min', ('re_fft', ('+', 'N', 'Z'))))), ('kurtosis', 'N'), ('argmax', ('skew', ('argmax', 'E'))), 'E']"
50,0.829,"[('skew', ('kurtosis', 'E')), 'N', 'E', ('skew', 'Z'), ('+', 'N', ('argmax', ('max', ('skew', ('min', 'Z'))))), 'E', ('kurtosis', 'Z'), ('min', ('min', ('skew', ('kurtosis', 'N')))), ('corr', ('corr', 'E', ('kurtosis', ('argmax', 'Z'))), ('corr', 'E', 'Z')), 'N', ('corr', 'N', ('min', ('+', ('re_fft', ('argmax', 'E')), ('skew', ('min', 'N'))))), 'E', ('kurtosis', ('re_fft', ('kurtosis', 'Z'))), ('re_fft', ('min', ('kurtosis', ('corr', 'E', ('kurtosis', 'Z'))))), ('max', ('skew', ('max', ('+', ('kurtosis', 'E'), 'E')))), ('+', ('skew', ('kurtosis', ('skew', ('skew', 'N')))), ('kurtosis', 'N')), ('max', ('kurtosis', ('re_fft', ('max', ('corr', 'Z', 'E'))))), ('max', 'N'), ('argmax', ('skew', ('re_fft', ('max', ('min', 'N'))))), 'Z', 'Z', 'N', 'Z', ('re_fft', ('min', ('max', ('argmax', ('skew', 'N'))))), 'N', ('re_fft', ('corr', ('min', ('argmax', ('kurtosis', 'N'))), ('skew', ('max', ('kurtosis', 'Z'))))), ('re_fft', ('min', 'Z')), ('min', 'E'), 'Z', ('re_fft', 'E'), ('max', ('kurtosis', ('min', ('kurtosis', ('re_fft', 'N'))))), 'Z', 'E', ('+', 'E', ('corr', ('kurtosis', 'E'), ('argmax', ('skew', ('+', 'Z', 'N'))))), ('re_fft', 'E'), ('skew', ('skew', ('corr', ('min', ('+', 'Z', 'E')), ('max', 'E')))), 'Z', ('re_fft', 'N'), ('min', ('argmax', ('argmax', ('kurtosis', ('kurtosis', 'E'))))), 'N', 'N', ('skew', 'Z'), ('skew', ('min', ('corr', 'E', ('corr', ('argmax', 'N'), ('min', 'E'))))), ('argmax', 'E'), ('skew', ('corr', 'N', ('+', 'Z', ('corr', ('skew', 'E'), ('min', 'E'))))), ('+', ('skew', ('min', ('corr', ('max', 'N'), ('+', 'E', 'Z')))), ('max', ('+', 'E', ('re_fft', ('skew', 'E'))))), 'N', 'Z', ('max', ('+', 'Z', ('corr', 'N', ('kurtosis', ('max', 'Z'))))), ('re_fft', ('corr', ('skew', ('kurtosis', ('kurtosis', 'E'))), ('min', ('max', ('max', 'Z')))))]"
50,0.840,"['E', ('corr', ('skew', 'N'), ('re_fft', 'N')), ('kurtosis', ('max', ('max', ('+', ('corr', 'N', 'N'), 'Z')))), ('skew', 'N'), ('+', ('+', 'N', 'Z'), ('kurtosis', 'E')), ('min', ('kurtosis', ('+', ('max', ('kurtosis', 'Z')), ('+', 'N', 'Z')))), 'N', ('max', ('re_fft', 'N')), ('corr', ('max', 'Z'), 'E'), 'N', ('argmax', ('corr', 'Z', ('max', 'Z'))), ('corr', ('kurtosis', 'E'), 'Z'), ('max', ('+', ('corr', 'Z', 'N'), ('skew', 'N'))), 'E', ('corr', 'E', ('kurtosis', ('+', ('argmax', ('kurtosis', 'E')), ('max', ('max', 'N'))))), ('+', ('argmax', 'E'), ('re_fft', ('argmax', ('kurtosis', ('re_fft', 'N'))))), 'E', 'Z', 'N', 'Z', ('argmax', ('max', ('corr', ('+', ('+', 'N', 'E'), ('argmax', 'N')), ('max', ('corr', 'N', 'Z'))))), 'N', 'E', 'N', ('re_fft', ('max', ('argmax', ('+', 'E', ('kurtosis', 'Z'))))), 'Z', ('re_fft', ('max', 'Z')), ('kurtosis', ('corr', ('+', ('max', 'E'), ('min', 'E')), ('kurtosis', ('kurtosis', 'E')))), ('kurtosis', ('max', ('max', 'E'))), ('argmax', ('+', ('argmax', ('corr', ('re_fft', 'E'), 'E')), ('argmax', 'Z'))), ('kurtosis', 'Z'), ('+', ('skew', ('re_fft', 'E')), ('+', ('corr', ('re_fft', ('min', 'N')), ('argmax', ('re_fft', 'Z'))), ('corr', ('re_fft', ('re_fft', 'E')), 'N'))), ('argmax', ('re_fft', ('re_fft', 'Z'))), 'E', 'N', 'Z', ('corr', ('kurtosis', ('max', 'Z')), ('argmax', ('skew', ('re_fft', ('skew', 'N'))))), ('kurtosis', 'N'), ('skew', ('re_fft', ('min', ('argmax', ('min', 'Z'))))), 'Z', ('max', ('max', 'Z')), ('min', ('max', ('kurtosis', 'E'))), 'N', ('max', 'N'), 'E', 'N', ('corr', ('corr', ('max', ('skew', ('skew', 'E'))), ('+', ('corr', ('re_fft', 'Z'), ('corr', 'Z', 'Z')), 'E')), 'Z'), ('skew', ('+', ('kurtosis', 'N'), ('max', ('min', ('max', 'E'))))), ('max', ('re_fft', 'Z')), ('argmax', ('max', ('re_fft', ('corr', 'N', ('re_fft', 'Z')))))]"
50,0.842,"[('max', 'Z'), ('min', ('kurtosis', 'E')), ('kurtosis', ('corr', ('argmax', ('kurtosis', ('skew', 'N'))), 'N')), 'E', 'E', 'E', 'E', ('+', ('kurtosis', ('argmax', ('kurtosis', ('kurtosis', 'Z')))), ('argmax', 'N')), ('skew', ('max', 'Z')), 'N', ('min', ('+', ('skew', 'E'), 'Z')), ('max', 'E'), ('max', 'Z'), ('max', ('re_fft', 'Z')), ('skew', ('+', ('argmax', ('skew', ('skew', 'N'))), ('+', ('max', 'Z'), ('corr', 'Z', ('argmax', 'E'))))), ('kurtosis', ('+', ('kurtosis', ('+', ('max', 'N'), ('max', 'E'))), ('kurtosis', ('max', ('skew', 'Z'))))), 'E', ('corr', ('min', 'Z'), ('re_fft', ('skew', ('re_fft', ('skew', 'Z'))))), ('re_fft', ('kurtosis', ('min', 'Z'))), ('kurtosis', 'N'), 'Z', ('skew', ('argmax', ('skew', ('skew', ('corr', 'Z', 'Z'))))), ('corr', ('min', 'N'), 'N'), 'Z', ('corr', ('min', ('min', ('kurtosis', ('re_fft', 'E')))), ('argmax', 'E')), 'N', 'E', 'E', 'Z', ('re_fft', ('kurtosis', 'E')), ('min', ('kurtosis', ('kurtosis', ('skew', 'Z')))), ('min', ('min', 'N')), ('skew', ('argmax', ('+', ('kurtosis', ('skew', 'N')), ('max', ('max', 'Z'))))), ('argmax', ('max', ('re_fft', ('re_fft', 'N')))), ('max', ('kurtosis', 'E')), ('max', 'N'), ('skew', 'N'), ('re_fft', ('kurtosis', ('min', ('+', ('+', 'E', 'Z'), 'E')))), ('corr', 'N', ('skew', ('+', 'Z', 'N'))), ('corr', ('max', ('kurtosis', ('max', 'Z'))), ('corr', ('+', 'N', ('kurtosis', ('max', 'N'))), 'Z')), 'N', 'N', 'E', ('kurtosis', ('argmax', ('re_fft', ('+', ('argmax', 'N'), ('+', 'Z', 'N'))))), ('+', ('+', ('kurtosis', ('min', ('argmax', 'E'))), ('skew', ('max', ('re_fft', 'Z')))), 'Z'), ('kurtosis', ('corr', ('skew', ('corr', ('re_fft', 'E'), ('max', 'Z'))), ('skew', ('min', ('max', 'E'))))), ('re_fft', 'E'), 'Z', ('skew', 'N'), 'E']"
50,0.843,"[('min', ('kurtosis', 'E')), ('max', ('corr', 'E', ('skew', ('corr', ('+', 'Z', 'N'), ('argmax', 'N'))))), 'N', 'Z', ('min', ('argmax', ('max', ('re_fft', 'N')))), ('min', 'E'), ('+', 'N', ('min', ('skew', ('skew', 'E')))), 'N', 'N', ('corr', ('argmax', ('min', ('kurtosis', 'E'))), ('argmax', 'N')), ('kurtosis', 'N'), ('skew', ('max', 'N')), 'Z', ('+', ('skew', ('argmax', ('kurtosis', 'Z'))), 'Z'), ('+', 'N', 'N'), 'N', ('min', ('kurtosis', 'Z')), 'E', ('corr', 'E', ('argmax', ('re_fft', ('re_fft', ('corr', 'Z', 'N'))))), ('corr', 'E', 'E'), ('re_fft', 'N'), ('kurtosis', ('kurtosis', ('min', 'Z'))), 'E', 'E', 'E', ('corr', ('corr', ('corr', ('max', 'E'), 'N'), ('argmax', 'E')), 'Z'), 'Z', ('argmax', ('kurtosis', ('+', ('argmax', ('re_fft', 'Z')), ('+', ('skew', 'N'), ('max', 'N'))))), 'N', ('+', ('re_fft', ('re_fft', ('min', ('max', 'Z')))), ('min', ('kurtosis', 'E'))), ('kurtosis', ('min', ('re_fft', ('re_fft', 'E')))), ('re_fft', ('max', 'E')), ('re_fft', ('min', 'N')), ('+', ('corr', ('kurtosis', 'Z'), ('argmax', ('kurtosis', 'N'))), ('max', ('corr', ('min', 'N'), 'E'))), ('min', ('+', ('skew', ('min', ('re_fft', 'E'))), ('re_fft', ('kurtosis', 'N')))), ('max', 'N'), ('argmax', ('+', ('argmax', 'Z'), ('kurtosis', 'N'))), ('argmax', ('max', ('max', ('skew', ('min', 'N'))))), 'E', ('min', ('skew', ('max', 'E'))), ('skew', ('+', 'Z', ('min', ('min', ('re_fft', 'E'))))), ('re_fft', ('re_fft', 'Z')), 'Z', ('skew', 'N'), ('skew', 'Z'), ('min', ('argmax', 'N')), 'N', ('max', 'N'), 'E', ('max', ('+', ('kurtosis', 'N'), ('re_fft', ('max', ('kurtosis', 'Z')))))]"
